Fee-Orders reports from 01-01-2025 to 12-24-2025
ストア,商品名,ASIN,日付,数量,価格,リンクタイプ,トラッキングID,商品リンク経由,デバイスの種類
ヘルスケア&家庭用品,【指定第2類医薬品】ブテナロックVαクリーム 18g,B07CCC2FQQ,2025-12-17 00:00:00,1,1133.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
ヘルスケア&家庭用品,カルシウム／マグ 90日分【栄養機能食品（カルシウム・マグネシウム）】,B06XW1TNBX,2025-12-17 00:00:00,2,1027.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
おもちゃ&ホビー,[DECEED] クリスマスツリー コスプレ 衣装 着ぐるみ 大人用 2点セット クリスマス 面白い コスチューム 男女兼用 忘年会 新年会 イベント パーティ 仮装 舞台服 余興 ステージ衣装 [並行輸入品],B0DLWZJSWN,2025-12-17 00:00:00,1,2817.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
電子部品&ホームオーディオ,Anker PowerLine III Flow USB-C & USB-C ケーブル Anker絡まないケーブル USB PD対応 シリコン素材採用240W iPhone 16 / 15 Galaxy iPad Pro/Air MacBook Pro/Air 各種対応 (0.9m ラベンダーグレー,B093L878QZ,2025-12-17 00:00:00,1,1309.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
携帯電話&アクセサリ,MOFT【公式直営店】ノートパソコンスタンド 非粘着 15°&25° 二段階調整可能 互換性 収納便利 ノートpcスタンド 7~11インチのタブレット、 11~14のpcに対応 持ち運び便利 コンパクト 放熱穴付き 折り畳み 腰痛/猫背防止（スペースグレー）,B07T9KW1WS,2025-12-17 00:00:00,1,3075.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
おもちゃ&ホビー,GoatGuns FN Scar Model | 公式ライセンス商品 | 1:3スケール ダイキャストメタルビルドキット,B0CM6XHKNM,2025-12-17 00:00:00,1,20215.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
スポーツ&フィットネス,【TFS】 松葉備長炭 【10kg×2箱】オガ炭 バーベキュー炭 BBQ 七輪用炭 使用可 長時間燃焼 業務用 煙無し 火鉢 火が付きにくいです（すいません）,B08W8HNLLD,2025-12-17 00:00:00,1,4733.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
ヘルスケア&家庭用品,スクラビングバブル (Scrubbing Bubbles) 流せるトイレブラシ フローラルソープの香り 本体+付け替え16個 (本体付属4個+付替品12個) 黒ズミ ブラシ 使い捨て 洗剤 まとめ買い 【Amazon.co.jp 限定】,B0BBFVVG6H,2025-12-17 00:00:00,1,818.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
オフィス用品&文房具,218 リシェル8 手帳 高橋書店 2026年版 シャロウブルー ウィークリー A6判,4471852183,2025-12-15 00:00:00,1,1700.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
食品&飲料、グルメ,おつまみのチャーム屋 わかめ白雪 100g,B0DTHLSCY7,2025-12-12 00:00:00,1,537.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
食品&飲料、グルメ,おつまみのチャーム屋 ピュアレ 元祖ティラミスチョコ 80g,B0DT4CSMQ5,2025-12-12 00:00:00,1,630.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
食品&飲料、グルメ,[ つまみ蔵 公式 ] スルメジャーキー イカジャーキー 180g (いかみみ と 胴体 食べやすい スルメスティック に) おつまみ イカ するめ 業務用 大容量 お菓子 駄菓子 珍味 酒のつまみ 酒の肴 | 千成商会,B0BJ1VPYH6,2025-12-12 00:00:00,1,1185.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
ビューティー&グルーミング,ドクターブロナー マジックソープ CI(シトラスオレンジ) 473ml フレッシュな柑橘の香り 植物オイル マルチオーガニックソープ,B07PNGNPWT,2025-12-11 00:00:00,1,2000.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
電子部品&ホームオーディオ,UGREEN Revodok Pro 9-in-1 USB-Cハブ 10Gbpsデータ転送対応 4K HDMI・ギガビットLAN・PD100W・SD/TFカードリーダー搭載 MacBook/iPad/Surfaceなど対応,B0DY15GFNG,2025-12-10 00:00:00,1,4454.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
カメラ、写真&ビデオ,DJI Mic Mini（2 TX + 1 RX + 充電ケース） ピンマイク ワイヤレス 超軽量 48時間使用 ノイズキャンセリング 自動制限機能 カメラ／iPhone／Android用ワイヤレスマイク Vlog撮影 ストリーミング,B0DDL8WGH5,2025-12-07 00:00:00,1,15000.00,Text Only Image Only Text and Image Links,daily-gadget-22,di,DESKTOP
書籍&テキスト,【司法書士試験対策】山本浩司のオートマシステム 1 民法Ⅰ ＜第14版＞【基本書/短期合格のためのテキスト/過去問織り込み】（早稲田経営出版） (オートマシリーズ),4847153014,2025-12-03 00:00:00,1,2400.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
書籍&テキスト,【司法書士試験対策】山本浩司のオートマシステム 3 民法Ⅲ ＜第14版＞【基本書/短期合格のためのテキスト/過去問織り込み】（早稲田経営出版） (オートマシリーズ),4847153030,2025-12-03 00:00:00,1,3100.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
書籍&テキスト,司法書士 山本浩司のautoma system 新・でるトコ一問一答+要点整理 (1) 民法 第6版 [令和5年4月1日施行 所有者不明土地に関連する法改正に対応](早稲田経営出版) (オートマシリーズ),4847151518,2025-12-03 00:00:00,1,2900.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
書籍&テキスト,【司法書士試験対策】山本浩司のオートマシステム 2 民法Ⅱ ＜第14版＞【基本書/短期合格のためのテキスト/過去問織り込み】（早稲田経営出版） (オートマシリーズ),4847153022,2025-12-03 00:00:00,1,2400.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
服&ファッション小物,[グンゼ] ニットトランクス やわらか肌着 綿100% 抗菌防臭加工 前あき SV61912/G,B00BEB6SPA,2025-12-01 00:00:00,1,1026.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
ビューティー&グルーミング,MARO(マーロ) 3Dボリュームアップシャンプー ジェントルミントの香り 詰替え用 760ml 【Amazon.co.jp限定】,B07X8P5943,2025-12-01 00:00:00,1,1492.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
電子部品&ホームオーディオ,エレコム 充電器 Type-C 3ポート USB-C×1 USB-A×2 32W USB PD対応 折りたたみ式プラグ GaN採用 【 iPhone 16 15 iPad Macbook Air など対応】 ホワイト EC-AC4032WH,B0C8HPQ97H,2025-12-01 00:00:00,1,1900.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
コンピュータ、タブレット、コンポーネント,【Amazon.co.jp限定】Tapo スマートホーム 赤外線 スマートハブ エアコン テレビ リモコン チャイム機能つき Sub-1GHz 簡易パッケージ メーカー保証3年 Tapo H110C,B0F1S6XSL6,2025-11-30 00:00:00,1,2527.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
電子部品&ホームオーディオ,JOTO ケーブル収納スリーブ 長さ約8M 直径1.3cm DIY切断可能 PET素材、家庭用/オフィス用 -ブラック,B088K4TYP4,2025-11-22 00:00:00,1,1545.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
ホーム,山崎実業(Yamazaki) デスク下 天板ケーブルラック ロング ブラック 約W63.5×D12×H17cm タワー tower ケーブル 電源タップ 収納 ネジで固定 カバー付き 4479,B0CBLVSC3Q,2025-11-22 00:00:00,1,4323.00,Text Only Image Only Text and Image Links,daily-gadget-22,di,PHONE
